file	description	raw
CEU_10000.txt.gz	            ~10,000 HapMap SNPs, CEU individuals	FALSE
CEU_YRI_10000.txt.gz	    ~10,000 HapMap SNPs, CEU and YRI individuals	TRUE
YRI_10000.txt.gz	            ~10,000 HapMap SNPs, YRI individuals	FALSE
CEU_10000.hw.gz	            ~10,000 HapMap SNPs, CEU individuals	TRUE
CEU_YRI_10000.hw.gz	    ~10,000 HapMap SNPs, CEU and YRI individuals	TRUE
YRI_10000.hw.gz	            ~10,000 HapMap SNPs, YRI individuals	TRUE
combined_YRICEU.txt	           ~10,000 HapMap SNPs, combined CEU and YRI genotype counts	FALSE
made_up_individuals.txt	made up individuals from different pops	FALSE
testAB.txt	test dataframe with two columns: A & B	FALSE
testC.txt test dataframe with 1 column: C FALSE
